id,label,x,y,shape
1,P1,-2.362236946378716,-1.7518007882056792,blob_a
2,P2,-1.7143629411531771,-1.1328635359722339,blob_a
3,P3,-3.120261995229929,-1.955101270998568,blob_a
4,P4,-3.1991624049148233,-1.8773188167726107,blob_a
5,P5,-2.6064296721856257,-0.9579339640311543,blob_a
6,P6,-2.5772268204488773,-1.2258953445133502,blob_a
7,P7,-2.6070989847273296,-2.124534018500479,blob_a
8,P8,-3.1807199522490786,-1.7695256736184688,blob_a
9,P9,-3.604937146872433,-2.2175485351168502,blob_a
10,P10,-2.662407644461047,-2.5910120647690507,blob_a
11,P11,-1.9926803562561548,-1.722201933800485,blob_a
12,P12,-3.6417859906763743,-2.579304938631943,blob_a
13,P13,-3.0699756254419377,-0.4379235159636772,blob_a
14,P14,-2.934523794883288,-1.668821440478606,blob_a
15,P15,-2.9702596853289536,-1.9167900909340485,blob_a
16,P16,-2.332377730331664,-1.4047563735285198,blob_a
17,P17,-2.4656160415785298,-1.517604040997846,blob_a
18,P18,-2.876795996819731,-1.2780920896325345,blob_a
19,P19,-2.285781187951084,-2.031000565701082,blob_a
20,P20,-3.0220849447169598,-1.5813711792395093,blob_a
21,P21,-2.6948878457716,-1.269225177596801,blob_a
22,P22,-2.524244457280699,-1.7867752281973368,blob_a
23,P23,-0.38373997922178826,2.4065395755320864,ellipse
24,P24,-0.6611265377646492,1.976467440488657,ellipse
25,P25,0.0953244377783227,2.4299006644928385,ellipse
26,P26,-1.2815016740187704,1.7159747353628034,ellipse
27,P27,0.3758654359022936,2.4603823143952006,ellipse
28,P28,0.19169809105815783,2.2072041137166476,ellipse
29,P29,-0.4785984671802671,2.2227082737898907,ellipse
30,P30,1.073957064059958,2.500490318601277,ellipse
31,P31,-1.0477792449271273,1.9508711105035041,ellipse
32,P32,-0.9852921500517356,1.665866807061546,ellipse
33,P33,-0.9818473312445972,2.0523428869967404,ellipse
34,P34,-0.04546931220525148,2.174193686073441,ellipse
35,P35,-1.0123099582446184,2.3121499247619677,ellipse
36,P36,-2.2257050273234835,1.7108542148633714,ellipse
37,P37,-1.2473080274566997,1.9641878570776394,ellipse
38,P38,0.07034421768852023,2.432254045364595,ellipse
39,P39,-0.6385372326186884,2.178447649053807,ellipse
40,P40,-0.4840826585618283,2.542341399224609,ellipse
41,P41,-0.0765782310767363,2.154844795928053,ellipse
42,P42,0.9877040037417653,2.8748825626963335,ellipse
43,P43,0.7146837751116903,2.5332949901290527,ellipse
44,P44,-0.6534362290559524,2.2374221899830897,ellipse
45,P45,2.673611677025658,-2.008988321707021,blob_b
46,P46,2.6406032746811903,-0.8609420676949002,blob_b
